,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,4,4,5,5,배달도빠르고 양도 많아요!
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,꿀맛입니다. 배달기사님도 친절하셨어요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,더운날씨에 배달해주시는분 넘친철하시고 감사히 맛있게 먹었습니다👍👍👍👍👍💕💕💕
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,"맛있게 잘 먹었어요~ 양도 많아 배부르고, 아래 깔려 있는 양파가 느끼함을 잡아줘서 좋았어요"
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,"스팸마리, 매운까르보나라떡볶이 맛있게 잘먹었습니다."
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,배달도 빠르고 소스랑 맛있어요!
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,2,3,3,1,조금 어처구니가 없네요 도착전화 걸자마자 빨리 오세요 그러더니 호텔에 숙박하게 되어 1층까지 내려가는데 3분정도 걸리니 다시 전화가 와서 왜 안오냐며 아무데나 두고 갈테니 챙겨가라네요 날도 덥고 짜증도 나고 다음 배달도 밀려서 빨리 가셔야하는건 아는데 배달료 3000원은 꽁으로 버시나요? 좋은 목소리로 말하면 충분히 늦어서 죄송하다 소파위에 두고 가시라 했겠어요.. 첫 도착전화부터 짜증섞인 목소리로 뭐하자는 건가요? 맛있는 음식이 배달사원덕에 개똥맛이 됐네요 교육 좀 시키세요 저도 담부턴 배달사원괴롭지 않게 포장해가는 연습하겠습니다
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,존맛탬~~~~~~~
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,"저희 집이 찾기 어려운 집이어서 힘드셨을텐데 친절하게 갖다주서서 감사합니다. :) 맛있는 한 끼가 되었네요! 버릴 일도, 모자를 일도 없이 딱 알맞게 좋았어요!"
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,너무 맛있어요 또 주문 하러 올게요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,맛있게 잘먹었습니다 ㅎㅎ 튀김 따로 주셔서 눅눅하지않았어요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,생각보다 맵지만 맛있어요!
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,맛있어요 ㅋㅋㅋㅋㅋ
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,4,5,5,4,김치찜은 고기도 부드럽고 맛있네요 대창덮밥은 굳이 특이 필요하진 않을것 같고 그릇이 작아서 비비기도 힘들어요 맛은 쏘쏘합니다.
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,1,2,5,5,잘 먹었는데 5시간 전부터 계속 설사로 화장실에 가고 있고 머리에 열이나고 아프고 온몸에 오한이 와서 이 더운 날씨에 몸이 떨리기까지 하네요. 오늘 당직이라 뜨거운물 마시면서 버티고는 있습니다. 여기서 시킨 음식 말고는 아직까지 먹은건 없어요. 내일은 아침에 가서 주사 맞고 약 처방 받으려고요. 처음에는 음식 문제라고 생각하지도 못한채 설마 코로나인가 싶어 당황했었네요. 위생에 신경을 많이 쓰셔야 겠습니다. 혹시 중국산 재료 쓰십니까?
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,4,4,3,4,그냥저냥 잘 먹었어요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,맛있어요 배달도 빠르네요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,4,돈까스랑 튀김은 맛있습니다. 음식도 군더더기 없이 깔끔하고요. 포장도 좋아요. 단.. 배달오시는분들이 약간씩 이상하네요. 제가 이상한분들만 걸리는건지... 그거 빼고는 만족하고 먹고있습니다.
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,항상 맛있게 먹고있습니다
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,good taste and fast delivery
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,너무 맛있네요ㅠㅠ 재주문 의사 있습니당
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,스쿨푸드 아주 오랜만에 먹어보는데 옛생각도 나고 참 맛있네요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,3,3,4,5,음.. 실망입니다ㅠㅠ
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,배달도 빠르고 맛있습니당
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,4,4,5,예정시간보다 빨리 왔고 다른 매장에서 시켜먹었을 때보다 국수양이 좀더 넉넉하게 느껴졌어요 그래도 여전히 가성비는 음... 분식메뉴 4개 시키고 배달비까지 37000원은 좀ㅠㅠㅎ 이름은 스쿨푸드인데 가격은 스쿨푸드가 아니네
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,4,4,4,4,양은 딱 적당하니 4명이서 배불리 먹었어요! 조금 아쉬웠던 부분은 한식은 간이 대체적으로 좀 많이 쎄구 대창덮밥에 대창은 거의 없고 새송이 버섯만 많았어요 ㅠㅠ 그에 비해 팟타이는 슴슴하니 양념이 좀 더 첨가되도 좋을듯해요.
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,완전 맛잇엇어요!!
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,베스트세트로 탄산음로도 있고 잘먹었습니다.
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,"쉬림프팟타이, 오징어먹물마리 배달도 빨리오고 할인도 되고 맛나게 먹었습니다."
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,배달 빠르게 왔어요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,4,4,5,5,매워요 양이 많아서 둘이 먹었어요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,3,3,3,4,#식후감 매운 까르보나 아니고 로제 같아요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,처음 시켜 먹어봤는데 가격도 착하고 김치도 푸짐하니 너무 맛있네요 ㅎㅎ 또 찾을게요!!
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,4,3,3,4,그냥 옛날먹던 그맛이네요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,고기는 여전히 야들야들한데 소스가 너무 달았셈 ㅠ 좀 덜 달게 해주유 글구 마리로 먹을 땐 몰랐는데 밥이 좀 푸석햇슴 그래도 이만큼 가성비 좋은 가게 없어서 다음 먹을 메뉴를 고르게 됨
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,4,5,5,부대국밥 맛있어요.
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,냉면 너무너무 맛있어요 ㅠ 마리는 역시 스팸모짜!
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,배달빠르고 맛있어요
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,맛있었어요~! 많이 파세요~
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,배송빠르고 맛있게 먹었습니다
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,배송빠르고 잘먹었습니다!!
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,두번째 먹는 고구마스틱이 별로였음 천원 더 내고 치즈볼 사먹는 것이 더 갠춘
0,서울특별시,중구,1인분주문,스쿨푸드-종로점,2021,7,5,5,5,5,야채가 많이 들어가서 맛있어요!
