,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,배달도 빠르고 맛도 맛이지만 양이 장난 아님 떡볶이는 정말 존맛탱입니다 치킨은 정말 부드럽고 깨끗한 기름에 튀긴것 같아요 번창하시길~~
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,맛있게 잘 먹었습니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,맛있게 잘먹었습니당~
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,후라이드 예술이네요 푸짐하고 맛있게 먹었습니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,맛있고 양도 많고 배달도 빨라요~
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,양도많고 치킨도 바삭하니 맛있게 먹었어요 앞으로 치킨집은 여기서만!!!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,맛집 발견입니다!! 양도 많고 맛있게 잘 먹었어요. 다음에 또 주문할께요~
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,1,3,5,5,치즈떡볶이가먹고싶음그걸시켜먹었겠지요.맛나게먹으라고생각해서올려주신건 감사하나.. 제가 치즈를못먹는데 두드러기가나는데 어찌먹나요.. 다시가져다줄수없냐하니 배달비안나와안된다하고 걷어내고먹으라는데치즈가녹아스며들어 걷어내지도못하고 환불도 안해주시고 떢볶이는 감사히 버립니다.. 치킨은 잘먹고있네요.이유야 어찌됐든 이건 가게 실수입니다.한명의고객쯤이야 떨어져나가도상관없다는 식의 이렇게 장사하시면안돕니다.
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,잘 먹었습니다 ~~~ 양이 진짜 많네요 ㄷㄷ 또 주문 할게요 !
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,7,5,5,5,5,떡볶이가 생각보다매워서 당황했지만 맛있게먹었습니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,6,5,5,5,,잘먹었습니다. 담에또시킬게요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,6,5,5,5,5,맛 배달 모두 만족이용 ㅋ
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,6,5,5,5,4,오자마자 허겁지겁 먹다보니 사지을 깜박했어여 맛있어서 순삭
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,6,5,5,5,5,배달도 빠르고 맛있네요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,너무 맛잇어요~~^^
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,배달도 진짜 빨리오고 양도 푸짐하고 무엇보다 너무 맛있었습니다!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,very very good!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,항상 맛있는데 튀김이 쫌 많았어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,2,4,4,4,치킨색 상이 커무잡잡해었어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,간장치킨이 정말 제취향이였어요 오랜만에 먹으니 맛있네요~~
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,항상 맛있게 먹고있어요!! 싸장님이 소스 2개나 주셔서 맛있게 먹었숩니당!! 매운간장 진짜 맛있는거 같아요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,치킨이 정말 맛있는집!!!!! 강추합니다 ㅎㅎㅎ 애들도 잘먹어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,1마리 양 이렇게 많을줄 몰랐어요 맛있고 서비스도 2개나 주셔서 감사합니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,👍👍👍👍👍👍👍👍👍👍👍👍
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,4,4,5,5,맛있고 가성비 좋아요~~!!!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,맛있어요 바삭해요!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,4,4,5,4,...........
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,오랜만에 시켜먹었는데 맛나네요 여전히
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,굿굿~~.
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,여기 집 치킨 미쳤습니다 감자튀김서비스 주신것도 양이 많아서 너무 감사하고 치킨도 양 짱많아요 시키면 후회없이 드실 수 잇어요 강추입니다!! 특제소스인지 모르겠는데 치킨에 뿌려먹으면 레전드 잘 먹었습니다 사장님!! 치킨은 여기서만 ㅅㅣ킬게요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,하...존맛.... 기사님도 엄청 친절하시고 목소리도 좋앗어요:) 맛 존맛 진짜 맛잇네요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,"저희 가족이 마늘치킨 먹고 눈이 땡그래졌어요ㅋㅋㅋ 저랑 동생이 어렸을적 먹었던 마늘치킨이 생각나는 맛.. 그리운 맛... 마늘치킨에 마늘이 있어서 너무 좋았어요! 그리고, 매운양념 치킨 저는 괜찮았는데 저희 가족한테는 너무 매운맛이였나봐요ㅋㅋ그래도 맛있었습니당. 떡볶이도 맛있고, 감튀도 맛있고♪♬ 가족들이 만족해 하며 먹었습니당"
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,5,5,5,5,5,배달도 그렇게 늦지않았고 서비스로 주신 감튀가 진짜 맛있었어요! 떡볶이랑 치킨도 맛있게 먹었어요~~~
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,4,사진은 없지만 맛있게 잘먹었습니다!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,양이 많아요 떡볶이가 칼칼해서 치킨이랑 궁합이 잘 맞아요^^ 서비스 감자튀김 감사합니당
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,두명이서 완전 배부르게먹었어요 치킨도 맛있었는데 떡볶이도 싸게 잘먹었습니다 다음에 또 시켜먹을게요!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,4,치킨 떡볶이 감튀 전부다맛있게 먹었어요ㅎㅎ 감튀 서비스 감사합니당
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,매운양녕은 처음 먹어봤는데 맛있었어요!! 같이온 간장 소스도 마늘치킨에 잘어울리구용 맛있게 잘 먹었습니다!!!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,4,5,5,5,맛도좋고 배달도빠르고 좋았어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,최고입니다. 한주 마무리가 아주좋았어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,맛있어요! 서비스로 감자튀김도 주시고 잘 먹었습니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,맛있어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,네가지맛 굿 한가지나 두가지시키면 물리는데 후라이드도 매콤하니맛나구 다맛있어요 양도 푸짐 배달시간도  정확해요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,맛있게 잘 먹었습니다!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,가격 보고 이가격이 되나 했는데 가격 이상의 맛을 보여주네요 비싼 치킨의 그맛은 아니지만 가성비 극강입니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,맛있습니다 다시한번시킬게요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,친구랑 밤늦게 야식으로 시켜먹었어요 떡볶이가 진짜맛있어요ㅋㅋㅋ가성비 최고네용 감자도 너무 맛있었어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,4,후라이드 바삭~ 하고^^ 양념치킨도 맛있네요 떡볶이 가성비 짱입니다.~~ 잘 먹었어요~ 배달이 시간보다 좀 늦어서 살짝 아쉬웠지만 맛있게 먹었으니 됐죠~ ㅎ
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,맛나게 잘먹었습니다~
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,맛있게 잘먹었습니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,,요기요 쿠폰이 있길래 주문해봤는데 쿠폰 쓴게 죄송해질정도로 너무 너무 맛있네요 서비스 감자튀김도 주시고! 시간도 딱맞게 나와서 기다리지도 않고 바로 받았고 후라이드는 정말로 깔끔한 후라이드의 정석이라고 할수있을만큼 바삭함과 짭쪼름함이 적당히 어우러져있었고 간장은 단짠단짠이 적당히 조화되어서 정말 맛있게먹고있네요 서비스로 주신 감자튀김도 너무 잘먹었구요 참 쉽지않은 월요일이었는데 사장님 덕분에 오늘 하루 기분좋게 마무리합니다 다음에 또 주문할게요 감사합니다 힘내시고 장사 잘되시기만 바라겠습니다
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,1,1,1,5,너무 .... 짭니다.. 진짜 반도 못먹겠어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,4,5,5,5,5,배달기사님도 친절하시구 배달도 빠르고 가족들이랑 맛있게 잘먹었습니다!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,"맛있어요,,,밥이랑 먹어도 괜찮네요"
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,잘먹었습니닿ㅎㅎㅎㅎ
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,한달만에 시켰어요~ 조금씩 계속 바뀌는 거 같아요ㅎㅎ 그래도 맛있고 양 많고 배달 빨라요^^
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,맛있고 배달도 빨라서 아주 맘에들어요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,정말 맛있습니다 강추강추!!
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,맛있네요 잘먹었습니닷
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,넘맛있어요ㅋㅋㅋㅋ완죤
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,1,5,4,1,ㅋㅋㅋ직원이 집앞에서 집 * 있네 이러고 들어왔습니다. 이게 맞나요? 다신안시킬게요
0,서울특별시,중구,분식,두마리치킨치킨나라-본점,2021,3,5,5,5,5,너무 맛있어요 용량도 많구요~
