,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,"맛있게 잘 먹었습니다, 콩나물,무채는 그냥 무료로 주시면 더 좋을 듯 하네요 동치미는 사먹는 인위적인 단맛이 없어서 더 맛있게 먹었네요"
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,너무 맛있어요!! 다음에 또 먹을게요.
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,양많고 맛있습니다 혼밥 혼술 다 든든하네요
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,단골이라서 이제 쓸말두 없네요 ㅋㅋ 그냥 맛있어요
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,"맛있어요~,~~~~"
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,여긴 항상 맛있어요 또시켜먹어야지
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,중복이라 닭볶음탕 생각나서 시켜먹었는데 최고입니다! 남자 둘이서 먹기에 부족하지 않은 양과 맛이었어요! 잘먹었습니다~
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있게 잘 먹었습니다
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,혼밥대왕 브라보 맛잇다
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요.
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요~~~~~~
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,김찌 여기가젤 맛잇음 여기서 시키셈그냥
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,점심에 먹기에 좋아요 여기 진짜 된장찌개 맛집이에요!
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요~ 비계부분이 살짝 덜 익은 느낌 이긴하지만 요즘 고기 다 괜찮다고하니 걍 쫄깃하게 잘먹었어요
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요 라면사리 추가한거 잘한거 같아요
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,5,맛있어요 혼밥 최고~~
0,서울특별시,중구,야식,혼밥대왕-왕십리점,2021,7,5,5,5,,맛있어요
