,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,"맛있게 잘 먹었어요,가격 대비 훌륭하네요 양도 많고 간장이 맛있네요"
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,3,솔직히 큰 기대 없이 밤에 티브이 보다가 게튀김이 맛있어보여서 대신 주문했는데 맛있었어요! 까다로운 저희 남편이 만족했다면 진짜 맛있는거에요 한 마리 더 주셨네요 감사합니다 알도 있고 살이 탱글하니 꽉 차있네요 잘 먹었습니다 너무 허겁지겁 먹어서 사진이 없어요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,맛있어용 너무 잘먹었어요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,어제 새벽에 도무지 참을 수 없어서 암게장을 다 먹고 오늘 두 배로 주문했습니다. 질리게 먹지 않으면 또 시킬까 봐서요. 맛있어ㅡ 정말 맛있어요. 냉장고를 열면 든든하네요. 많이 파세요. *그런데 오늘은 왜 새우머리를 안잘라주셨어요? ^^ 어제 남은 장에 먹을 것만 옮겨담아 머리 따서 맛나게 비벼 먹었어요. 고맙습니다^^
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,상품평 보고 처음 주문했는데 정말 맛있네요^^ 잘 먹었습니당^^!!
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,너무 맛있네요! 아이가 먹고싶다거 해서 주문했는데 정말맛있게 잘 먹었습니다!
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,"오ㅡ 맛있어! 가격이 저렴해서 좋았고... 리뷰 중 부정적인 건 왜 그랬지? 싶었고... 삼만오천원에 한, 두 마리 보내주는 다른 곳이 쉬는 바람에 주문해보았어요. 어, 이건 뒷걸음 치다 소잡고... 닭 잡으려다 매 잡았어요. 김부각, 새우장, 암게장 까지 남는 게 있으신가요?  담백하고 짜지않고요.  새우장은 머리를 모다 잘라보내 주셨어요. (머리에 든 내장 탓에, 남기기라도 하면 간장이 빨리 쉬면서 변하거든요.) 그런데도 껍질 깠는데도 크기도 커요. 김부각이 작지만 순서를 바꿔서 게장 위에 올려 먹었습니다^^"
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,여기 사장님은 감동을 주는게아니라 감격을주시네요 너무나도 친절하시고 특히나 맛!!! 이가격이라고 믿을수없을정도로 실하고 맛있었습니다. 김부각이랑 함께먹으니 천국에온듯했어요. 만약 가게 가서 먹었으면 극찬을하면서 사장님을 향해 박수쳤을것같아요. 집근처에 이런 맛있는 게장집이있어 눈물날만큼 조아용 게장생각날때마다 여기서먹을게요 너무너무감사합니다 사장님 복 많이받으시고 번창하세요😄❤💛🧡💚💜
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,간장반양념반 주문했는데 간장이 두개가와서 전활드렸더니 그냥드시고 양념만 더 갖다주신다고~~ 와~~통큰사장님 대박나실듯용 맛도있지만 기분까지업되서 더 맛있게먹은듯해용~~ 센스있는사장님~~단골되겠습니다 진짜맛있어요~~
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,생각보다 양도 많고 맞았었네요. 감사합니다 ^^
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,배달도 빠르고 좋은데 간장 게장 뚜껑 너무 안열려서 애먹었네요ㅠㅠ
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,너무 맛있게 잘먹었어요 항상 변함없이 맛있어요 양념 게장이 1통이 잘못왔는데 사장님이 간장게장도 다시보내주시고 양념게장도 서비스로 주셨어요 양념게장 첨 먹어봤는데 양념도 너무 맛있어요 감사해요:)
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,3,2,3,1,리뷰에 담배냄새가 난다는 글이 있길래 그냥 무시하고 시켰는데 봉지에서 까자마자 담배찌든?냄새가 확 나네요 대체 간장게장에서 왜 담배냄새가 나는지 ㅜㅜ 그래도 맛은 있어요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,5,5,5,5,완전순삭해서... 새우장도 맛있어오 추천
0,서울특별시,중구,일식돈까스,밥도둑들,2021,7,3,3,3,5,양념게장 1키로 못되고 900g 왔네요... 게는 블루크랩이라길래 궁금했는데 크기는 적당하고 일반적으로 먹던 게보다 껍질이 조금 더 딱딱한 느낌은 드네요. 게살은 연하고 촉촉한느낌은 안나요. 냉동된 게였겠죠 아마? 저렴하게 먹으니 양념맛으로 먹었습니다. 양념이 일반적으로 생각하는 맛이랑은 조금 달라서 호불호 갈리기는 할 것 같네요. 식초빠진 초장느낌. 하지만 제입에는 맛있었습니다.
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,3,3,4,1,아니 배달 온거에는 담배 냄새나고 고춧가루 범벅
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,밥도둑 ㅠㅠ 맛있어욤
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,4,4,4,4,게장 오랜만에먹었네영~~~~~~ 늦은시간까지해서좋아요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,와이프가 좋아하는데 맛있데요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,4,5,4,5,맛도 좋고 배송도 빠르고 좋아요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,입맛없을때 딱임 양념굿
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,1,3,3,1,악의적인 나쁜 리뷰는 써본 적 없는데 오늘은 맛을 떠나 경우가 아니라고 생각해 남겨봅니다 여러 사유로 주문 취소를 당해 5일째 시도만에 주문에 성공 후 금일 11시 06분에 주문한 건이 도착 예정 시간이 지나도 오지 않았습니다 배달이 많아 조금 걸리나 보다 싶었으나 두 시간이 지나서도 오지 않아 직접 연락을 취해 현재 새벽 1시 47분 근 3시간 만에 받았습니다 사장님께 11시 40분 김자반 재고가 없어 김부각으로 대체해서 보내준다는 문자도 받았어요.. 바쁘고 힘드실 것 알아서 별 소리 안 했는데 신경좀 써주세요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,아주아주 맛있게 잘 먹었습니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,밥반찬으로 먹었는데 너무 맛있어요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,3,3,4,4,깜짝 놀랐어요 고추장국인줄 알았어요 고춧가루로 양념된걸로 생각했는데 뚜껑을 열자 국물이 쏟아지길래 보니 고추장국물 같은게 한가득 맛도 고추장맛
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,미국산 꽃게를 쓰나봐요 블루 크랩 이네요 참고하세요%~
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,4,5,간장게장은 맛있긴 했는데 살이 작고 좀 삭아서 왔어요. 양념게장은 살도 크고 맛았었습니다.
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,음식 받자마자 먹느라 사진은 못찍었어요 생각했던거보다 맛났어요 특히 간장게장이 맛났어요 오랜만에 게장 맛나게 먹었어요 ㅎㅎ
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,감사합니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,처음에 뚜껑이 안열려서 당황했는데 전화해서 하라는대로 해보니 열렸어요 ㅋㅋㅋ 맛있게 잘먹었습니당
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,존맛탱이요호❤️❤️❤️❤️❤️❤️❤️❤️
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,첫 주문인뎅 맛있게 잘먹엇어용ㅋㅋ살 많고 신선하네요 엄마가 먹고싶어햇는데 주믄하길 잘햇네요ㅎㅎ 다음에 생각날때 또 주문할게용^^!!!
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,4,4,5,5,게딱지가 있음 더좋겠어요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,사진 찍는걸 깜빡해서 글로만 남겨요 ㅠㅠ 배달 너무 빠르고 양 맛 너무 좋아요~!
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,간장이 개인적으로 더 맛있어요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,먼저 찍고 그 이후 찍으려했는데 남은게 게껍질밖에 안남아서 못찍었네요 너무 맛있습니다 굿
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,배달은 항상 빠르고 아이들이 먹기편하고 좋아해서 자주 시켜먹네요 양념 간장 다 맛있습니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,5,너무너무 맛있게 잘 먹었습니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,3,3,4,5,"양념이 진짜 맛있고 통통하긴 한데 너무,, 심하게 짜고 게가 너무,,, 딱딱해여,,,,ㅠㅠ"
0,서울특별시,중구,일식돈까스,밥도둑들,2021,6,5,5,5,1,맛있어요 근데 업소위치가 서울이네요?? 여기 인천인데 2시간 걸렸어요 너무 느림 퀵으로 배송하는건가요? 아님 인천에 대리점이 있는건가요?
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,3,늘 맛있어서 재주문하는데 같은 통 내에서도 신선도가 다르네요. 이번엔 이전보다 좀 더 짰어요.
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,이번에도 너무 잘 먹고 있어요~ 양념게장으로 밥 두공기 후딱 먹어요~
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,맛있어요^^ 추천합니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,맛있어요 진짜 맛있어요 ㅋㅋㅋ 정신없이 먹느라 사진을 못 찍었네요.. 오랜만에 먹는 거라 기대를 많이 했는데 기대 이상으로 맛있어서 너무 기분 좋았습니다ㅎㅎ 담에 게장 땡기면 여기서 시켜먹을 것 같아요~  ( 혹시 양념 새우장은 파실 생각이 없으신가요? 그것도 잘 하실 것 같아서용 )
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,맛있고 다 좋았는데. 한 마리는 알이 없네요. 그래도 너무 맛있어서 좋았습니다. 다음엔 양념게장도 먹어볼게요.
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,2,2,3,4,솔직히 돈아깝다는 생각 들었습니다ㅠㅠ 전에 한번 먹어보고 괜찮았다고 생각들어서 오랜만에 주문해서 먹었는데요.. 일단 게는 커서 좋았고 알도 많았습니다 다만ㅠㅠ 너무 숙성이 된건지 게살이 너무 흐물거리고 중요한건 탄산맛인지.. 더이상 입에들어가지 않더라고요ㅜ 밥도둑생각하고 아들이 먹고 싶다하여 주문한건데 다리살 한입먹더니 못먹겠다길래.. 저도 한입 먹어본순간 뭘말하는지 알겠더라고요. 암튼 넘 탄산맛 숙성된맛이였어요..ㅠ 내돈ㅜㅜ 서비스 사이다는 잘 마실게욥.. 배달은 빠른편이였지만 봉지에 간장 흘러있었고 뚜껑 따기 넘 힘들더라고용ㅜ
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,오랜만에 맛보는 싱싱하고 맛있는 간장게장입니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,1,1,2,5,음식을 배달 한게아니라. 반찬가게 반찬 한개만 배달해서 먹은 느낌.ㅡㅡ
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,무엇보다 배송이 빨라 좋았습니다 상품설명도 화면과 같습니다 요구사항도 잘 반영되었구요 감사합니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,2,2,5,5,너무짜요 게는 좋은게를 쓰시는거같은데 숙성이 오래된걸 보내주셨는지 밥비벼먹어도 짜고 물을 1L를 마셨어용 4마리들어있어서 2마리씩먹었는데 진짜 너무짰어요 게는 수율좋고 알좋은데 숙성이좀..ㅎㅎ다들맛있다길래 시켰는데 너무 기대했나봐요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,저번에 주문하거 맛 있게다먹구 또주문했네여 넘 맛있써영 굿굿 담에또주문할께 최고최고임
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,너무너무 맛있게 잘 먹었습니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,2,4,5,1,점심시간에 먹으려고 11:20 정도에 시켰고 도착 예정 시간이 12:22였는데 2:10에 배달이 왔어요. 저도 바쁜 사람이라 제가 밥을 먹으려고 정해놓은 시간 외에는 먹을 상황이 안되는데 너무 늦게 와서 어쩔 수 없이 굶었네요. 1:30 쯤에 전화를 하니 죄송하다는 말 하나 없이 확인하고 다시 연락 주신다고 하고 2시에 음식을 받았어요. 맛은 그럭저럭 괜찮은데 다른 리뷰에서 본것처럼 “탄산수” 맛이 조금 났어요. 다시는 여기서 안 시킵니다.
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,4,4,4,5,양념게장은 맛있네요 간장게장은 약간 매운맛때문에 애들이 안먹네요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,1,1,1,1,주문과 다른 절단게가와서 전화드렸는데..하루지나서 연락줬다며 지속 배달하시는분 탓인데 하루지나 찾을수없다고 연신 배달탓만하시더라구요..밤늦게주문했고 점심에 먹으려고해서 먹지도않고 바로전화드린건데.. 더욱이 환불은 요구한게아니고 교환부탁드린건데.. 본인탓은없다고 기분이 별로였습니다..한참후에야 이번만 보내주신다며 문자로잘부탁드린다고 보내셨더라구요.. 저번엔 게상태가 안조아서 전화드렸는데 열어보기전엔 알수없어 한두마린 그럴수있다는데.. 뽑기하나요? 복불복도아니고.. 제품받고도 기분이 별로네요.답변이라도 성의있게부탁드려요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,오자마자 정신없이 꺼내서 맛있게 먹었습니다. 다음에도 또 주문해서 먹을게용~
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,맛있어여! 어딘가 살짝 매콤한게 이집 간장을 찾게되는 이유인 것 같아요!! 배달도 예상시간보다 2배나 빨리왔습니다~!!
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,진짜 게장 존맛.. 배달이 실수없이 왔다면 더 대박인데
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,3,3,5,5,배달이 빨리 와서 좋았는데 뚜껑을 도저히 열 수가 없었어요...... 냉장고에 다시 넣어두면 열릴까 싶었지만 잠깐 놔두는 걸론 변화가 없고 배고파서 먹긴 해야겠고 ㅠㅠㅠ 뚜껑이랑 10분간 씨름하다가 손잡이도 빠졌는데 안 열리길래 칼로 힘줘서 잘라서 겨우 열었습니다 ㅠㅠ 그러느라 간장은 다 버렸네요 (원래 버리려고 했어서 이건 괜찮지만) 제 입엔 좀 많이 짜고 살도 흐물흐물해서 아쉽습니당
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,1,1,1,1,게살도 퍽퍽하고 이거 몇일 놔뒷건지가 궁금하네요 진짜 먹기 싫은 맛이구요ㅈ궁금 하시면 와서 맛좀 봐보세요 계장에세 식쪼도 들어갓고 살도 푸석 거리고 이걸 먹으라고 파시는건지
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,4,4,5,게장 좋아하는데 간만에 시켰어요 잘먹었습니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,맛있네요 ~~~~~~
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,4,4,5,5,쪼금 짠감이 있었는데 그래도 맛있게 잘 먹었습니당ㅎㅎ
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,1,1,1,5,어버이날이자만 코로나 땜에 나가시긴 싫고 게장이 드시고 싶다셔서 주문해드렸습니다 게가 크고 좋다고 입맛 다시며 게장 뚜껑을 여니 누런 알과 살이 다 녹아내려 간장에 섞이는게 어디서 상한 물건을 보냈냐 하시네요 냄새가 상한 냄새는 아니라 냉동게라 살이 좀 녹을수 있다 하고 드셔보더니 상하기 바로 전인거 같다십니다 민망해서 참  배달음식에 편견만 더해주고 돈 버렸습니다
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,이 집 양념게장 양념은 진짜 넘넘 맛있어요 ㅜㅅㅜ♡ 간장게장도 청양고추가 들어있는 양념이어서 살짝 매콤하니 맛있더라구용. 개인적으로 양념게장이 더 좋긴하지만요 ㅎㅎ 순식간에 밥 한그릇 뚝딱 했네요 ㅎㅅㅎ 게장 생각나면 또 시키려구용
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,머 말이필요없죠 ㅋ 넘 맛나영 ㅋ 담에또주문할께 최고최고임
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,맛있어요 가격도 괜찮고~ 김부각도 잘 먹었습니다~ 배송도 빨랐고 많이 파세요~
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,완전 맛있게 정말 잘 먹었습니다. 두껑 열자마자 바로 완전 흡입해 버렸습니다. 어찌 이리 맛나는지요^^ 맛있는 음식 먹고 힘 엄청 얻었습니다! 정말 아주아주 맛있습니다! 대박나세요^^🏆🏆🏆🏆🏆 감사합니다⭐️⭐️⭐️⭐️⭐️
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,여전히 맛있네여 짱짱 다음에는꼭 새우장 주문해야겠네영 굿이에요
0,서울특별시,중구,일식돈까스,밥도둑들,2021,5,5,5,5,5,너무 맛있게 먹었어요~ 게딱지에 밥비벼서 한그릇 뚝딱 했어요. 다음에는 양념도 같이 시켜야겠어요.
