,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,소짜 시켰는데 양이 엄청 많아서 놀라고 족발이 너무 맛있어서 두번 놀랍니다. 최근에 먹은 족발집중에서 제일 맛있었네요. 번창하세요!
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,4,4,4,역시나 믿는 그맛 막국수도 짱^^
0,서울특별시,중구,족발보쌈,대족장,2021,7,4,4,5,5,맛있어요~!~! 사이드가 엄청 양이 많아서 두명이서 다 못먹었어요ㅠㅠ
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,"아이가 족발,순대를 워낙 좋아해서 늘 공덕 족발골목에서 시켜먹다가 우연히 보고 첨으로 시켜봤어요.메인인 족발은 냄새없이 정말 정말 맛있어요.함께 주신 김치전,김치찌개도 맛있구요. 다만,쟁반국수가 우리가족에겐 너무 짜요;;;담번엔 소스를 줄여달라고 요청해야겠어요. 잘먹었습니다."
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,양이 정말 너무 푸짐하네요 ㅎㅎ
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,족발은 생각보다 양이 작은데 사이드가 많아서 여튼 너무 잘 먹었습니다~!!
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,4,맛있고 양 많고 나중에 재주문 할겁니더.
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,엄청나게 맛있네요. 원래 족발은 잘안먹는데 진짜 잘먹었습니다;)
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,야무지게 잘먹었습니다! 굿굿굿
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,이른 저녁에 시켜서 그런지 배달도 엄청 빨리 왔고 양도 혜자네요. 잘먹었습니다ㅡ
0,서울특별시,중구,족발보쌈,대족장,2021,7,4,4,4,5,항상 맛있게 먹었는데 오늘은 좀 신선하지 않았네요~~ 오래된 맛이랄까요~~
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,"도착예정시간에 맞춰서 배달이 왔습니다. 막국수,백김치,순대는 진짜 맛있게 잘먹었어요 무엇보다 족발이 쫀득하니 매우잘먹었습니다."
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,너무많아서 한번에 담기 힘들었네요 족발은 언제나 쥰맛탱입니다~~
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,항상 족발은 여깁니다.
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,4,"어머니 생신이라 주문했는데 양도 푸짐, 맛도 굿굿입니다. 저희집쪽에서는 배달이 안되서 아쉽습니다. 감사히 잘먹겠습니다.^^"
0,서울특별시,중구,족발보쌈,대족장,2021,7,4,4,4,4,"주음식보다 다른게 많은것 같지만 고기는 부드럽고 맛있었어요,, 간은 좀 많이 쎄네요(하루종일가요)"
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,4,5,5,잘 먹었습니다! 메뉴가 푸짐해요
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,맛있고 양도 많아서 배터지게 먹었습니다~!!!
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,잘 먹었습니다아아아
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,사장님 항상 맛잇게 잘먹고 잇어요!!! 감사합니다~ 또 주문할거에요!
0,서울특별시,중구,족발보쌈,대족장,2021,7,5,5,5,5,대족장은 최고예요.한번에 다 못 먹을만큼 양이 많아서 둘이서 두번에 나누어서 먹습니다.항상 번창하시길!
