,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,맛있어요 양도 많아요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,4,,잘먹었습니다!!!!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,4,4,4,5,여긴 뿌링클이죠 후라이드는 쫌ㄴㄴ
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,4,5,5,맛있게 잘 먹었습니다
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있습니다 뿌링클 최고
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,3,2,4,3,양념쏘스를 들이 부으셨더라구요....다 먹구 나서도 양념쏘스가 파도를 치네요.
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,배달은 좀 늦지만 맛있어요~!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,음식사진 없어서 아쉽지만... 너무너무 만족이요 서비스음식도 넘 맛있고 다 맛있어요 별 다섯개요~^^
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,맛있게 잘 먹었습니당ㅇㅇㅇㅇㅇㅇㅇㅇㅇ
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,4,5,4,,항상 맛은 보장되어있는곳 다만 처음 콤보시켰는데 설명과 달리 윙봉6조각에 다리4조각이었다
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,"BHC최고!!!!!!!! 너무 배고파서,,,급하게 주문했고,,,받자마자 급하게 먹었어요ㅋㅋㅋㅋ그래서 사진 못 찍오요ㅠㅠㅠㅠ맛있어요 너무 맛있어요 또 주문 하러 올게요!!!"
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,양도 많고 맛있어요! 배달도 빨라서 좋았습니다! 다만 제공되는 콜라가 너무 작아서 아쉬웠습니다!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,맛있게 잘 먹었습니다
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,1,1,3,1,너무 오래걸림 여러건 배달뛰었는지 치킨이 눅눅한 상태로 옴..
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,정말 맛있어서 자주 시켜 먹어요. 오늘도 시킬려고요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있어요 ~~~~~~
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,배달도 빠르고 맛있었습니다
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,3,3,3,5,이전에 시키던 지점이 안열어서 시켜봤는데 닭 크키도 작고 가루도 최소한으로 묻어있는것 같습니다 맛이없는건 아니고 그냥 이런 사소한게 차이로 느껴지는것 같습니다~
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,3,3,5,,오랜만에 주문했는데... 튀김딱딱... 김딱딱
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,급하게 먹어서 사진을 못찍었네요 맛있게 잘먹었습니다!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,항상 맛있게 먹어요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,좋아요 맛잇었어요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,4,2,5,5,맛이 랜덤이에요 절반 확률로 맛있고 절반 확률로 맛없음 사장님이 실력있으신데 바쁘면 대충하는듯
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있게 잘 먹었습니다!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있게 잘 먹었습니다
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있었어요 뿌링클은 자주먹어야함
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,맛초킹 처음 시켜봤는데 맛있네요 골드킹에 매운맛 추가한 느낌? ㅎㅎ 잘 먹었습니다~^^
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,4,5,맛있어요 배송도 빠르구요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있게 잘 먹었습니다~!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있게 잘 먹었습니다~!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛초킹 맛집입니다 잘먹었습니다
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,할인해서 저렴하게 먹었네 양념소스도 두개 주시고 양도 많고 젛네요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,금방 받았네요!!! 정말 맛있고 나중에 또 주문할게요!!!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,미안해미안해미아냐히
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛있어여 정신없이 먹다가 늦게 찍었네영 맛있움
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,4,5,,맛있어요!!많이 먹을 것 같아서 그릇에 덜어먹는 중인데 너무 맛있네요 ㅠㅠ 제가 밀접 접촉자는 아닌데 혹시 몰라서 오늘 검사받았거든요!그래서 가게 못들어가고 멀리서 치킨 봉지 둬달라고 말한건데 ㅎ그렇게 해주셔서 감사합니다. 코로나로 힘드실텐데 우리 모두 힘내봐요!!! 치킨도 깔끔하게 튀겨지고 맛도 좋아서 다음에 또 구매할게요:)
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,4,4,4,,뭔가 예전보다 닭다리도 작아지고 닭퀄도 별로였어여 ㅠ 여기서만 치킨먹는데 아쉬웠습니당
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,4,3,3,3,맛있게 먹었습니다.
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,,맛초킹 스틱 맛있어요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,🤤🤤🤤🥺🥺🥺🥺🥺🥺🥺🥺
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,3,3,3,1,배송자 진짜 소리 없이 문옆에 놓고 가셔네요!!! 안 올 줄 알고 1시간 넘었어 음식 먹었어! 실망이다~
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,맛있게 잘 먹었습니다.
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,제 Top3에 들어갈 만함
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,배달이 빠르고 맛도 있어요. 강추합니다.
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,배달도 정확히 오고 치킨도 맛있었어요^^
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,맛있게 잘먹었습니다 ^^
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,1,5,1,3,이렇게 양 적게주는 집은 처음이에요 애초에 적게 주신건지 배달 대행이 빼먹은건지 알 수가 없지만 섭섭하네요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,1,1,2,1,튀김은 덜 익혀서 안쪽에 노란 밀가루 그대로있고 치킨은 비맞아서 종이박스랑 몇조각은 그대로 버리거 요기오링 bhc는 이제 거릅니다 장사 뭣같이하네^^ 내가먹어본 치킨중 제일 최악
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,매우 만족 입니다. 사진은 막 먹다가 ㅠㅠ 지저분해서 패스 합니다.
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,스피드 너무 빨리!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,5,5,배달도 빠르고 맛있게 잘 먹었습니다~^^
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,4,4,5,매콤한 윙 완전 빠져서 벌써 3번째 주문했어요~
0,서울특별시,중구,치킨,BHC-종로성대점,2021,7,5,5,3,3,감사합니다!
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,5,푸짐해요 잘 먹었습니다
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,5,항상 맛있게 먹고 있습니당
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,5,양념이 적당하고 맛있어요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,5,分量很大！好吃！还送了冰阔落～
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,5,무난하게 잘 먹었어요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,5,양 대박 맛있어요 굿
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,3,다른집으로 엉뚱한곳에 배달하여 황당했네요.상대방집에서 연락 안 줬음 마냥 기다릴뻔요.연락해서 다행히 빠른조치로 시간 마춰 먹긴했지만 불쾌하고 황당했네요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,3,3,3,5,평소에 골드킹 좋아해서 야근하는 김에 회사에서 처음시켜봤습니다 그런데 제가 먹어봤던 골드킹 중에 소스가 가장...적었어요.. 소스가 발라진 부분보다 안 발라진 부분이 더 많은 느낌ㅠ 주문가능한 BHC매장 3곳 중에 그나마 평이 가장 나아서 주문한 건데 실망스럽네요.. 배달은 빨리 해주셔서 감사합니다 앞으로 BHC는 집동네에서만 시켜먹어야 겠어요 ㅠ
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,5,5,항상 맛있게 먹어요
0,서울특별시,중구,치킨,BHC-종로성대점,2021,6,5,5,4,5,기대하던 맛입니다! 양도 평소답고 배달은 빨리 왔습니다~
