,시,구,업종명,가게명,년,월,전체평점,맛 평점,양 평점,배달 평점,리뷰 내용
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,4,4,4,4,빠른배달이 좋았습니다..
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,굿~~~~~~~~~~
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,요청사항도 들어주시고 너무 감사합니다. 덕분에 아이가 너무 맛있게 먹었습니다. 좋은 하루 되세요.^^
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,맛있음 행사 개꿀
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,생일파티에 맛나는 불고기햄버거 먹었어요
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,4,5,4,밤에 너무 땡겨서 시켜먹었어요 ㅋㅋㅋ 굿
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,더운 날씨에도  수고많으세요 덕분에 집에서 편 맛있게  잘먹었습니다
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,맛있어요. 배송도빨라요
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,롯데리아 요즘 점점 맛있어지는거 같아요 ㅎㅎ
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,배달도 빠르고 맛있게 잘먹었어요
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,햄버거 맛있게먹었어요
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,4,5,5,1,사이다인데ㅠㅠ 콜라가져다주시고 배달전 확인좀 부탁드립니다
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,배달도 빠르고 맛나요!!!!!!!!!!
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,배달도 빠르고 맛있어요
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,해장엔버거
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,패티가 더블이니 맛도 두배
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,#식후감 배달 금방 오시고 맛있게 먹었어요~ 이벤트로 힘드실텐데 감사합니다~^^
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,1,1,1,1,배달 똑바로 하세요
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,잘받아 맛있게 먹었어요~
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,더위날리는 팥빙수! 잘먹엇습니다
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,굿ㄱㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱㄷ굿
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,2,4,2,1,음식이 배달 예상시간보다 20분이나 늦게 와서 감튀가 지나치게 눅눅했습니다... 심지어 콜라는 오지도 않았어요. 다음부터는 제대로 확인해주시고 배달부탁드립니다.
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,모짜렐라 인더버거 최고 진짜 너무 맛있어요!!!! 치킨버거에 베이컨 추가 강강강추!!!! 잘먹었습니다~~~
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,배송도 빠르고 맛있게 잘먹었습니다.
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,오호 맛있어용.감사합니다^^
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,배달 빠르고 맛잇어여
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,4,4,4,4,맛나게 먹었습니다
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,배달도 예상시간에 잘 왔구요. 햄버거도 맛나게 잘 먹었습니다
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,4,5,5,#식후감 두툼한 패티가 접힌 내뱃살같구나 사각새우패티는 소스가부족
0,서울특별시,중구,피자양식,롯데리아-동묘역점,2021,7,5,5,5,5,잘먹었습니다~~^^
